Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,76.81353644,,,
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,578.2587803,631.4419555,460.5675116,685.0202378
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,108.65,103.52,113.0416667,100.645
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,0.845376564,0.950915534,0.924709623
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,3.6725
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,70.53916667,94.99074167,130.61655,296.2580417
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,489.0088586,503.769675,435.6661797,392.4763022
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.453085118,1.33122426,1.441664459,1.505191066
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.875506397,0.845494139,0.949623753,0.924839558
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7,1.7,1.7,1.7
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1915.046176,1975.950881,2034.306634,2574.051749
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.875506397,0.845494139,0.949623753,0.924839558
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,574.2945496,554.6077989,622.9123482,606.6549823
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,575.5860045,554.530675,623.7597009,606.5697502
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,84.87139167,85.08376325,91.74545444,106.3094843
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.716333333,1.653775,1.860141667,1.808966667
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.376,0.376,0.376,0.376
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.716970495,1.653606154,1.859325877,1.8092028
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.439575,2.538675,2.6261,3.00735
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.91,6.91,6.91,6.91
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.155178788,5.39440079,5.163970291,4.994379763
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.37970343,1.343806963,1.378956397,1.343079601
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,74.09956688,73.91801282,78.60449058,82.59927645
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,11.45624167,11.08725833,12.36880833,13.59638333
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,575.5860045,554.530675,623.7597009,606.5697502
