STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,DATABASE_ID,UNIT_MULT,UNIT_TYPE,TIME_FORMAT,OBS_STATUS,DECIMALS
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2000,94.48880767822266,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2001,94.77049255371094,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2002,95.05217742919922,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2003,95.3338623,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2004,95.61554718017578,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2005,95.89723205566406,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2006,96.17891693115234,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2007,96.46060180664062,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2008,96.74228668,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2009,97.02397156,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2010,97.30565643310548,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2011,97.58734130859376,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2012,97.86902618408205,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2013,97.86902618408205,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2014,97.86902618408205,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2015,97.86902618408205,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,ABW,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2016,97.86902618408205,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2000,27.441856384277344,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2001,27.47357940673828,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2002,29.674861907958984,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2003,31.87558937072754,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2004,34.09443283081055,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2005,36.33122634887695,WB_HCP,0,RATIO,602,A,1
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,AFG,WB_HCP_UNICEF_WATER,_T,_T,_T,PT,_Z,_Z,_Z,2006,38.56711959838867,WB_HCP,0,RATIO,602,A,1
