ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,0.893376372,0.893881496,0.894352057,0.889944072,0.885573504,0.881155811,0.871237462,0.861264691,0.851737676,0.841981536,0.83408154,0.826784577,0.818737418,0.805697884,0.79012041,0.782220289,0.778977311,0.752568819,0.755148579,0.729639689,0.741241485,0.715109117,0.709128246,0.704731059,0.663830526,0.662929224,0.661812612,0.671781986
ALB,Albania,0.647339689,0.6500468,0.650985275,0.648539411,0.647912617,0.646520557,0.646836558,0.6472281,0.647749349,0.644638313,0.641433696,0.640045036,0.639746856,0.639243471,0.641036198,0.631065044,0.623240257,0.613970853,0.609446581,0.601875048,0.597681644,0.59534695,0.586523516,0.579356895,0.55328646,0.530657988,0.508966067,0.488204725
DZA,Algeria,0.580933603,0.575595463,0.57122544,0.565183717,0.561240669,0.556507691,0.566004939,0.575821556,0.569391419,0.562494297,0.557816941,0.549992445,0.54881524,0.545808794,0.543178966,0.538271379,0.536745095,0.536396968,0.529979477,0.522188331,0.522392444,0.5213141,0.521934239,0.526076452,0.52840965,0.460538319,0.492791813,0.485957466
AND,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,0.76545356,0.766234528,0.765551389,0.764968788,0.765192335,0.765940299,0.770320898,0.764092454,0.76334741,0.7558199,0.755068791,0.754145185,0.747296036,0.749464671,0.755818242,0.757260255,0.746117198,0.731263602,0.733819941,0.740497544,0.750907221,0.747584535,0.744699136,0.743993502,0.742151925,0.739198924,0.736448001,0.734606423
ATG,Antigua and Barbuda,0.640190552,0.639359011,0.636795313,0.636720056,0.639453505,0.639008208,0.638463546,0.635881451,0.636026797,0.638656188,0.643420175,0.635432972,0.628492445,0.63160147,0.631699767,0.63389383,0.638556472,0.630415408,0.624410459,0.625435842,0.628930991,0.627132297,0.622846137,0.622690257,0.602144265,0.604519996,0.604303583,0.604303583
ARG,Argentina,0.5099865,0.511354923,0.510103796,0.508997313,0.507798275,0.506645572,0.505790598,0.50385041,0.502242296,0.499953922,0.498039835,0.497068578,0.495743307,0.495360036,0.494866493,0.494744297,0.492938508,0.490583122,0.477265065,0.477292236,0.4772495,0.481927743,0.482804761,0.415630076,0.415169884,0.406448418,0.406273593,0.406098768
ARM,Armenia,0.490018224,0.489669006,0.488324482,0.486366258,0.486396864,0.484334465,0.488254288,0.485557411,0.490754476,0.490390337,0.493170233,0.488727475,0.487336085,0.481568893,0.477481854,0.469939945,0.470563298,0.468106344,0.470056823,0.465876588,0.468059822,0.469732154,0.462401042,0.480010905,0.480138412,0.482935139,0.461640005,0.455051798
AUS,Australia,0.311186836,0.349116771,0.353085786,0.354350059,0.354292081,0.354155229,0.351642322,0.354527243,0.352927855,0.351256243,0.352589581,0.351338601,0.349448573,0.346194186,0.344210177,0.341801463,0.340333407,0.341497289,0.334241065,0.330730505,0.332172131,0.331907428,0.318898312,0.277536165,0.266202667,0.267385152,0.2717368,0.279976016
AUT,Austria,0.321940325,0.320528447,0.318883801,0.317995352,0.31734679,0.316338921,0.316755728,0.315856176,0.314205179,0.312886273,0.311935503,0.310925974,0.310022007,0.310248504,0.313909016,0.312658304,0.308859191,0.303382832,0.309617102,0.312411702,0.306553701,0.301127739,0.296844379,0.293741931,0.285635589,0.284784134,0.285436197,0.285452318
AZE,Azerbaijan,0.571893588,0.574304549,0.57744368,0.583837743,0.588494224,0.593825711,0.570470798,0.569266301,0.570947766,0.569724719,0.570207842,0.568197065,0.565713866,0.560577142,0.557603442,0.55469632,0.549607495,0.539410405,0.529272451,0.523491581,0.521324275,0.520843531,0.520467363,0.519721042,0.519296729,0.5188662,0.51846628,0.518072857
BHS,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,0.455450969,0.453523805,0.453567468,0.453381853,0.451783227,0.453215757,0.453951621,0.456302835,0.452504616,0.447262509,0.446988194,0.446974908,0.443984763,0.448039041,0.446262878,0.448310813,0.450641422,0.452470213,0.451844795,0.450011063,0.44736944,0.447279018,0.45288287,0.455439714,0.448141555,0.44282623,0.437862757,0.433931016
BGD,Bangladesh,0.752702111,0.750650542,0.766242504,0.742848693,0.735871317,0.728981079,0.726477676,0.72227439,0.719274118,0.725122702,0.720528499,0.705106367,0.726654926,0.716005593,0.709530469,0.707375392,0.702935479,0.691588028,0.682353953,0.69612991,0.686498308,0.673125578,0.651591885,0.643463628,0.64063699,0.635124205,0.712003765,0.712838911
BRB,Barbados,0.304739387,0.305819704,0.31031629,0.313874986,0.308822696,0.306265028,0.30695585,0.345163131,0.341887302,0.301569754,0.321919407,0.324739722,0.329266148,0.313492727,0.361278883,0.358213735,0.337967634,0.313299508,0.307449595,0.329211773,0.337414703,0.342787845,0.323914728,0.355544218,0.360951773,0.362055961,0.369571377,0.369571377
BLR,Belarus,0.444462024,0.443607167,0.444808431,0.443149428,0.445125694,0.457099819,0.45603586,0.457220843,0.456944522,0.454957105,0.45356571,0.452131013,0.452521638,0.451916363,0.448893241,0.445990172,0.439579682,0.438726351,0.440775891,0.441755491,0.44487361,0.426834987,0.422536942,0.411718385,0.38637357,0.384778363,0.38374208,0.371668512
BEL,Belgium,0.36756304,0.365237622,0.365059378,0.364564052,0.367318738,0.370126371,0.371494225,0.369423974,0.370580052,0.359619153,0.357613024,0.358567888,0.364028549,0.363271084,0.365942114,0.367241248,0.355977704,0.350388728,0.350399891,0.341903159,0.341775795,0.340224173,0.341420007,0.341070381,0.319855509,0.317409376,0.306479145,0.307868397
BLZ,Belize,0.649845612,0.651424718,0.651636418,0.640256321,0.638963978,0.633003665,0.63662789,0.583499906,0.582489521,0.629607951,0.620249446,0.617393905,0.627571127,0.633302623,0.611442965,0.628146722,0.609523435,0.608161196,0.577127733,0.5835578,0.575023066,0.565684906,0.566460417,0.564346579,0.576801721,0.561946812,0.570828344,0.560754958
BEN,Benin,0.867416153,0.867278757,0.85736697,0.850524431,0.846310887,0.842507627,0.839140916,0.83728386,0.836242887,0.835149542,0.832197347,0.830779977,0.828515877,0.818417234,0.811247415,0.803769422,0.802374745,0.795558907,0.800560114,0.800970425,0.806210978,0.797384482,0.793657532,0.787470222,0.7908785,0.787158041,0.790328386,0.777000105
BTN,Bhutan,0.67209919,0.674791293,0.674815093,0.674523425,0.674562247,0.674851242,0.66725231,0.664000129,0.66649492,0.657666033,0.65301546,0.653743856,0.644860622,0.651387795,0.653054163,0.658677504,0.64975928,0.632510087,0.631859189,0.623709898,0.617489356,0.610990191,0.606523298,0.616148044,0.611776867,0.604891026,0.598694922,0.596670836
BOL,"Bolivia, Plurinational State of",0.713754579,0.706955357,0.710325711,0.706691877,0.706728094,0.706823929,0.704384773,0.710168691,0.701382191,0.697293979,0.704867323,0.696703834,0.700379293,0.693482565,0.687862926,0.682278588,0.677912938,0.673782213,0.678436279,0.680249692,0.678659522,0.654100152,0.636405222,0.635137455,0.63159622,0.627252907,0.653963124,0.651047059
